Rank,Shirt Number,Name,Team,Excellents,Faults,Serve Reception,Total Attempts,Efficiency %
134,24,Javad Karimisouchelmaei,IRI,0,0,3,3,
135,1,Davide Candellaro,ITA,1,0,2,3,
136,2,Riccardo Sbertoli,ITA,0,0,2,2,
137,6,Simone Giannelli,ITA,0,1,4,5,
138,7,Giacomo Raffaelli,ITA,5,4,22,31,
139,11,Fabio Balaso,ITA,26,10,141,177,
140,12,Fabio Ricci,ITA,0,1,0,1,
141,14,Matteo Piano,ITA,1,0,0,1,
142,15,Roberto Russo,ITA,1,1,14,16,
143,17,Simone Anzani,ITA,0,0,2,2,
144,18,Nicola Pesaresi,ITA,9,0,42,51,
145,20,Gabriele Nelli,ITA,0,1,0,1,
146,21,Alberto Polo,ITA,0,0,3,3,
147,28,Francesco Recine,ITA,0,1,1,2,
148,1,Issei Otake,JPN,1,3,0,4,
149,2,Hideomi Fukatsu,JPN,0,0,1,1,
150,3,Naonobu Fujii,JPN,0,0,3,3,
151,6,Akihiro Yamauchi,JPN,0,2,1,3,
152,8,Masahiro Yanagida,JPN,19,10,89,118,
153,10,Taichiro Koga,JPN,16,4,43,63,
154,12,Masahiro Sekita,JPN,0,1,5,6,
155,13,Naoya Takano,JPN,26,6,135,167,
156,15,Haku Ri,JPN,0,0,4,4,
157,17,Tsubasa Hisahara,JPN,3,3,28,34,
158,20,Taishi Onodera,JPN,1,3,5,9,
159,22,Tomohiro Yamamoto,JPN,58,5,135,198,
160,1,Piotr Nowakowski,POL,1,0,0,1,
161,2,Maciej Muzaj,POL,2,1,4,7,
162,4,Marcin Komenda,POL,0,0,1,1,
163,5,Lukasz Kaczmarek,POL,1,0,4,5,
164,7,Artur Szalpuk,POL,9,5,67,81,
165,8,Jedrzej Gruszczynski,POL,4,1,10,15,
166,10,Damian Wojtaszek,POL,27,6,112,145,
167,11,Fabian Drzyzga,POL,0,0,3,3,
168,12,Grzegorz Lomacz,POL,0,0,1,1,
169,13,Michal Kubiak,POL,8,3,31,42,
170,14,Aleksander Sliwka,POL,33,11,138,182,
171,15,Jakub Kochanowski,POL,0,1,5,6,
172,16,Bartlomiej Boladz,POL,0,1,0,1,
173,17,Pawel Zatorski,POL,20,2,47,69,
174,20,Mateusz Bieniek,POL,0,0,3,3,
175,21,Tomasz Fornal,POL,20,8,69,97,
176,22,Bartosz Bednorz,POL,27,14,123,164,
177,23,Jakub Popiwczak,POL,31,6,118,155,
178,25,Michał Szalacha,POL,0,0,1,1,
179,27,Piotr Łukasik,POL,13,6,54,73,
180,77,Karol Klos,POL,3,2,3,8,
181,99,Norbert Huber,POL,2,1,13,16,
182,3,Nuno Teixeira,POR,0,0,2,2,
183,4,Filip Cveticanin,POR,2,0,12,14,
184,5,Gil Pereira,POR,25,8,73,106,
185,7,Marco Evan Baptista Ferreira,POR,0,1,1,2,
186,8,Tiago Da Silva Violas,POR,0,0,1,1,
187,9,Joao Simoes,POR,36,13,101,150,
188,10,Phelipe Martins,POR,3,3,6,12,
189,11,Bruno Cunha,POR,0,1,1,2,
190,13,Caique Oswaldo Ferreira Da Silva,POR,13,9,103,125,
191,15,Miguel Tavares Rodrigues,POR,0,1,3,4,
192,17,Joao Fidalgo,POR,21,7,71,99,
193,2,Ilia Vlasov,RUS,0,0,1,1,
194,4,Denis Zemchenok,RUS,0,3,2,5,
195,7,Dmitry Volkov,RUS,34,13,136,183,
196,8,Anton Semyshev,RUS,11,5,41,57,
197,9,Ivan Iakovlev,RUS,4,0,6,10,
198,10,Fedor Voronkov,RUS,36,7,120,163,
199,11,Igor Philippov,RUS,1,0,8,9,
200,14,Yaroslav Podlesnykh,RUS,18,11,152,181,
201,18,Egor Kliuka,RUS,40,13,131,184,
202,20,Ilyas Kurkaev,RUS,1,2,2,5,
203,22,Roman Martynyuk,RUS,4,3,49,56,
204,24,Igor Kobzar,RUS,0,1,7,8,
205,29,Kirill Ursov,RUS,4,2,6,12,
206,1,Aleksandar Okolic,SRB,1,1,2,4,
207,3,Milan Katic,SRB,34,10,147,191,
208,4,Nemanja Petric,SRB,3,2,27,32,
209,7,Petar Krsmanovic,SRB,3,0,1,4,
210,8,Marko Ivovic,SRB,2,2,37,41,
211,9,Nikola Jovovic,SRB,0,0,1,1,
212,10,Miran Kujundžić,SRB,23,16,102,141,
213,11,Aleksa Batak,SRB,0,0,2,2,
214,13,Stevan Simic,SRB,1,0,1,2,
215,17,Neven Majstorovic,SRB,2,5,36,43,
216,19,Stefan Negic,SRB,2,1,8,11,
217,20,Srecko Lisinac,SRB,5,0,5,10,
218,21,Vuk Todorovic,SRB,1,1,6,8,
219,22,Andrija Vilimanovic,SRB,0,0,2,2,
220,23,Bozidar Vucicevic,SRB,0,1,1,2,
221,24,David Mehic,SRB,11,9,57,77,
222,27,Stefan Kovacevic,SRB,2,0,2,4,
