Rank,Shirt Number,Name,Team,Aces,Faults,Hits,Total Attempts,Average Per Set
221,26,Plamen Shekerdzhiev,BUL,0,5,13,18,
222,30,Nikolay Kolev,BUL,0,0,2,2,
223,6,Justin Duff,CAN,0,1,4,5,
224,11,Daniel Jansen Vandoorn,CAN,0,4,19,23,
225,12,Lucas Van Berkel,CAN,0,4,103,107,
226,14,Eric Loeppky,CAN,0,1,12,13,
227,9,Yaochen Yu,CHN,0,7,80,87,
228,21,Ruantong Miao,CHN,0,5,5,10,
229,23,Shikun Peng,CHN,0,3,16,19,
230,1,Jonas Aguenier,FRA,0,3,54,57,
231,4,Jean Patry,FRA,0,27,99,126,
232,5,Raphaël Corre,FRA,0,6,32,38,
233,6,Benjamin Toniutti,FRA,0,3,73,76,
234,9,Earvin Ngapeth,FRA,0,8,13,21,
235,23,Timothée Carle,FRA,0,14,22,36,
236,19,Daniel Malescha,GER,0,7,14,21,
237,25,Lukas Maase,GER,0,0,2,2,
238,9,Masoud Gholami,IRI,0,3,22,25,
239,21,Morteza Sharifi,IRI,0,1,0,1,
240,3,Luca Spirito,ITA,0,1,6,7,
241,7,Giacomo Raffaelli,ITA,0,0,9,9,
242,14,Matteo Piano,ITA,0,1,46,47,
243,17,Simone Anzani,ITA,0,4,42,46,
244,23,Andrea Argenta,ITA,0,3,4,7,
245,28,Francesco Recine,ITA,0,1,1,2,
246,17,Tsubasa Hisahara,JPN,0,0,15,15,
247,11,Fabian Drzyzga,POL,0,7,32,39,
248,16,Bartlomiej Boladz,POL,0,5,12,17,
249,25,Michał Szalacha,POL,0,0,9,9,
250,27,Piotr Łukasik,POL,0,5,31,36,
251,28,Bartosz Filipiak,POL,0,1,9,10,
252,2,Ilia Vlasov,RUS,0,2,8,10,
253,28,Kirill Klets,RUS,0,2,3,5,
254,29,Kirill Ursov,RUS,0,2,4,6,
255,15,Nemanja Masulovic,SRB,0,2,12,14,
256,22,Andrija Vilimanovic,SRB,0,7,15,22,
257,27,Stefan Kovacevic,SRB,0,1,11,12,
258,28,Danilo Pavlovic,SRB,0,1,2,3,
259,9,Jake Langlois,USA,0,6,18,24,
